Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
26,API REST Process Memory Tampered,Tampering,Diagram 1,HTTPS Respostas públicas,High,Not Started,,"If API REST is given access to memory, such as shared memory or pointers, or is given the ability to control what Página pública executes (for example, passing back a function pointer.), then API REST can tamper with Página pública. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
27,Cross Site Scripting,Tampering,Diagram 1,HTTPS Respostas públicas,High,Not Started,,The web server 'Página pública' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
28,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Respostas públicas,High,Not Started,,Página pública may be able to impersonate the context of API REST in order to gain additional privilege.,,Generated
29,Spoofing the Serviço de e-mail External Entity,Spoofing,Diagram 1,HTTPS Resultado da entrega,High,Not Started,,Serviço de e-mail may be spoofed by an attacker and this may lead to unauthorized access to API REST. Consider using a standard authentication mechanism to identify the external entity.,,Generated
30,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Resultado da entrega,High,Not Started,,API REST may be able to impersonate the context of Serviço de e-mail in order to gain additional privilege.,,Generated
31,Potential Data Repudiation by Página pública,Repudiation,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,"Página pública claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
32,Potential Process Crash or Stop for Página pública,Denial Of Service,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,"Página pública crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
33,"Data Flow HTTPS Consulta, inscrição e check-in Is Potentially Interrupted",Denial Of Service,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
34,Página pública May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,Participante (sem conta) may be able to remotely execute code for Página pública.,,Generated
35,Elevation by Changing the Execution Flow in Página pública,Elevation Of Privilege,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,An attacker may pass data into Página pública in order to change the flow of program execution within Página pública to the attacker's choosing.,,Generated
36,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
37,Spoofing the Página pública Process,Spoofing,Diagram 1,HTTPS Requisições públicas,High,Not Started,,Página pública may be spoofed by an attacker and this may lead to unauthorized access to API REST. Consider using a standard authentication mechanism to identify the source process.,,Generated
38,Potential Data Repudiation by API REST,Repudiation,Diagram 1,HTTPS Requisições públicas,High,Not Started,,"API REST claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
39,Potential Process Crash or Stop for API REST,Denial Of Service,Diagram 1,HTTPS Requisições públicas,High,Not Started,,"API REST crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
40,Data Flow HTTPS Requisições públicas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Requisições públicas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
41,API REST May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Requisições públicas,High,Not Started,,Página pública may be able to remotely execute code for API REST.,,Generated
42,Elevation by Changing the Execution Flow in API REST,Elevation Of Privilege,Diagram 1,HTTPS Requisições públicas,High,Not Started,,An attacker may pass data into API REST in order to change the flow of program execution within API REST to the attacker's choosing.,,Generated
43,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Requisições públicas,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
44,Spoofing the API REST Process,Spoofing,Diagram 1,HTTPS Respostas públicas,High,Not Started,,API REST may be spoofed by an attacker and this may lead to unauthorized access to Página pública. Consider using a standard authentication mechanism to identify the source process.,,Generated
45,Potential Data Repudiation by Página pública,Repudiation,Diagram 1,HTTPS Respostas públicas,High,Not Started,,"Página pública claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
46,Potential Process Crash or Stop for Página pública,Denial Of Service,Diagram 1,HTTPS Respostas públicas,High,Not Started,,"Página pública crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
47,Data Flow HTTPS Respostas públicas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Respostas públicas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
48,Página pública May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Respostas públicas,High,Not Started,,API REST may be able to remotely execute code for Página pública.,,Generated
49,Elevation by Changing the Execution Flow in Página pública,Elevation Of Privilege,Diagram 1,HTTPS Respostas públicas,High,Not Started,,An attacker may pass data into Página pública in order to change the flow of program execution within Página pública to the attacker's choosing.,,Generated
50,Spoofing of the Participante (sem conta) External Destination Entity,Spoofing,Diagram 1,HTTPS Informações e confirmação,High,Not Started,,Participante (sem conta) may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Participante (sem conta). Consider using a standard authentication mechanism to identify the external entity.,,Generated
51,External Entity Participante (sem conta) Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Informações e confirmação,High,Not Started,,"Participante (sem conta) claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
52,Data Flow HTTPS Informações e confirmação Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Informações e confirmação,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
53,Spoofing the Página autenticada Process,Spoofing,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,Página autenticada may be spoofed by an attacker and this may lead to unauthorized access to API REST. Consider using a standard authentication mechanism to identify the source process.,,Generated
54,Potential Data Repudiation by API REST,Repudiation,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,"API REST claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
55,Potential Process Crash or Stop for API REST,Denial Of Service,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,"API REST crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
56,Data Flow HTTPS Requisições autenticadas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
57,API REST May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,Página autenticada may be able to remotely execute code for API REST.,,Generated
58,Elevation by Changing the Execution Flow in API REST,Elevation Of Privilege,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,An attacker may pass data into API REST in order to change the flow of program execution within API REST to the attacker's choosing.,,Generated
59,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
60,Potential Data Repudiation by Página autenticada,Repudiation,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,"Página autenticada claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
61,Potential Process Crash or Stop for Página autenticada,Denial Of Service,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,"Página autenticada crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
62,Data Flow HTTPS Loguin e operações de gestão Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
63,Página autenticada May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,Organizador may be able to remotely execute code for Página autenticada.,,Generated
64,Elevation by Changing the Execution Flow in Página autenticada,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,An attacker may pass data into Página autenticada in order to change the flow of program execution within Página autenticada to the attacker's choosing.,,Generated
65,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
66,Potential Data Repudiation by Página autenticada,Repudiation,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,"Página autenticada claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
67,Potential Process Crash or Stop for Página autenticada,Denial Of Service,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,"Página autenticada crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
68,Data Flow HTTPS Loguin operações administrativas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
69,Página autenticada May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,Avaliador may be able to remotely execute code for Página autenticada.,,Generated
70,Elevation by Changing the Execution Flow in Página autenticada,Elevation Of Privilege,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,An attacker may pass data into Página autenticada in order to change the flow of program execution within Página autenticada to the attacker's choosing.,,Generated
71,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
72,Potential Data Repudiation by Página autenticada,Repudiation,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,"Página autenticada claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
73,Potential Process Crash or Stop for Página autenticada,Denial Of Service,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,"Página autenticada crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
74,Data Flow HTTPS Loguin e operações administrativas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
75,Página autenticada May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,Administrador may be able to remotely execute code for Página autenticada.,,Generated
76,Elevation by Changing the Execution Flow in Página autenticada,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,An attacker may pass data into Página autenticada in order to change the flow of program execution within Página autenticada to the attacker's choosing.,,Generated
77,Cross Site Request Forgery,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
78,Spoofing the API REST Process,Spoofing,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,API REST may be spoofed by an attacker and this may lead to unauthorized access to Página autenticada. Consider using a standard authentication mechanism to identify the source process.,,Generated
79,Potential Data Repudiation by Página autenticada,Repudiation,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,"Página autenticada claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
80,Potential Process Crash or Stop for Página autenticada,Denial Of Service,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,"Página autenticada crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
81,Data Flow HTTPS Respostas autenticadas Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
82,Página autenticada May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,API REST may be able to remotely execute code for Página autenticada.,,Generated
83,Elevation by Changing the Execution Flow in Página autenticada,Elevation Of Privilege,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,An attacker may pass data into Página autenticada in order to change the flow of program execution within Página autenticada to the attacker's choosing.,,Generated
84,Spoofing of the Avaliador External Destination Entity,Spoofing,Diagram 1,HTTPS Atividades e confirmações,High,Not Started,,Avaliador may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Avaliador. Consider using a standard authentication mechanism to identify the external entity.,,Generated
85,External Entity Avaliador Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Atividades e confirmações,High,Not Started,,"Avaliador claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
86,Data Flow HTTPS Atividades e confirmações Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Atividades e confirmações,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
87,Spoofing of the Organizador External Destination Entity,Spoofing,Diagram 1,HTTPS Resultado das operações,High,Not Started,,Organizador may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Organizador. Consider using a standard authentication mechanism to identify the external entity.,,Generated
88,External Entity Organizador Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Resultado das operações,High,Not Started,,"Organizador claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
89,Data Flow HTTPS Resultado das operações Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Resultado das operações,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
90,Spoofing of the Administrador External Destination Entity,Spoofing,Diagram 1,HTTPS Resultado das operações,High,Not Started,,Administrador may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Administrador. Consider using a standard authentication mechanism to identify the external entity.,,Generated
91,External Entity Administrador Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Resultado das operações,High,Not Started,,"Administrador claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
92,Data Flow HTTPS Resultado das operações Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Resultado das operações,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
116,Data Flow Sniffing,Information Disclosure,Diagram 1,Gravações e consultas,High,Not Started,,"Data flowing across Gravações e consultas may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
115,Data Store Denies MongoDB Potentially Writing Data,Repudiation,Diagram 1,Gravações e consultas,High,Not Started,,"MongoDB claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
114,The MongoDB Data Store Could Be Corrupted,Tampering,Diagram 1,Gravações e consultas,High,Not Started,,Data flowing across Gravações e consultas may be tampered with by an attacker. This may lead to corruption of MongoDB. Ensure the integrity of the data flow to the data store.,,Generated
113,Spoofing of Destination Data Store MongoDB,Spoofing,Diagram 1,Gravações e consultas,High,Not Started,,MongoDB may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of MongoDB. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
112,Spoofing the API REST Process,Spoofing,Diagram 1,Gravações e consultas,High,Not Started,,API REST may be spoofed by an attacker and this may lead to unauthorized access to MongoDB. Consider using a standard authentication mechanism to identify the source process.,,Generated
98,Spoofing of the Serviço de e-mail External Destination Entity,Spoofing,Diagram 1,HTTPS Solicitação de envio,High,Not Started,,Serviço de e-mail may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Serviço de e-mail. Consider using a standard authentication mechanism to identify the external entity.,,Generated
99,External Entity Serviço de e-mail Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Solicitação de envio,High,Not Started,,"Serviço de e-mail claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
100,Data Flow HTTPS Solicitação de envio Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Solicitação de envio,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
124,Potential Process Crash or Stop for API REST,Denial Of Service,Diagram 1,Dados consultados e confirmações,High,Not Started,,"API REST crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
123,Weak Access Control for a Resource,Information Disclosure,Diagram 1,Dados consultados e confirmações,High,Not Started,,Improper data protection of MongoDB can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
122,Potential Data Repudiation by API REST,Repudiation,Diagram 1,Dados consultados e confirmações,High,Not Started,,"API REST claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
121,Spoofing of Source Data Store MongoDB,Spoofing,Diagram 1,Dados consultados e confirmações,High,Not Started,,MongoDB may be spoofed by an attacker and this may lead to incorrect data delivered to API REST. Consider using a standard authentication mechanism to identify the source data store.,,Generated
120,Spoofing the API REST Process,Spoofing,Diagram 1,Dados consultados e confirmações,High,Not Started,,API REST may be spoofed by an attacker and this may lead to information disclosure by MongoDB. Consider using a standard authentication mechanism to identify the destination process.,,Generated
119,Data Store Inaccessible,Denial Of Service,Diagram 1,Gravações e consultas,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
107,Potential Data Repudiation by API REST,Repudiation,Diagram 1,HTTPS Resultado da entrega,High,Not Started,,"API REST claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
108,Potential Process Crash or Stop for API REST,Denial Of Service,Diagram 1,HTTPS Resultado da entrega,High,Not Started,,"API REST crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
109,Data Flow HTTPS Resultado da entrega Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Resultado da entrega,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
